allocation_id,payment_doc,payment_date,batch_ref,stat_no,payment_amount,target_doc,target_date,target_lane,target_amount,allocated_amount,residual_after_allocation,allocation_type,evidence_source,confidence,commercially_confirmed,review_required,notes
AL-0207,00037248,2025-03-03,STAT 112,STAT 112,2286.79,00041983,,LPG,0,0,2286.79,UNALLOCATED,ERP_LEDGER,Exception,false,true,"No LPG for ref 41983."
AL-0208,00037248,2025-03-03,STAT 112,STAT 112,1265,00041831,,LPG,0,0,1265,UNALLOCATED,ERP_LEDGER,Exception,false,true,"No LPG for ref 41831."
AL-0209,00037248,2025-03-03,STAT 112,STAT 112,5060,00041593,,LPG,0,0,5060,UNALLOCATED,ERP_LEDGER,Exception,false,true,"No LPG for ref 41593."
AL-0210,00037248,2025-03-03,STAT 112,STAT 112,6694.21,00041067,2025-02-27,LPG,15306.73,6694.21,0,OPEN_BALANCE_PARTIAL,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,true,"Partial vs net open 15306.73 (Δ-8612.52). ERP ref cross-check agrees (41067)."
AL-0211,00037558,2025-03-13,STAT 112,STAT 112,12349,00041211,2025-03-04,LPG,12349.06,12349,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,true,"Open balance trunc/over (Δ-0.06). ERP ref cross-check agrees (41211)."
AL-0212,00037585,2025-03-18,STAT 112,STAT 112,0.06,00041211,2025-03-04,LPG,0.06,0.06,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (41211)."
AL-0213,00037585,2025-03-18,STAT 112,STAT 112,57.5,00046879,,LPG,0,0,57.5,UNALLOCATED,ERP_LEDGER,Exception,false,true,"No LPG for ref 46879."
AL-0214,00037585,2025-03-18,STAT 112,STAT 112,58.06,00041983,,LPG,0,0,58.06,UNALLOCATED,ERP_LEDGER,Exception,false,true,"No LPG for ref 41983."
AL-0215,00037585,2025-03-18,STAT 112,STAT 112,11251.38,00041472,2025-03-12,LPG,11251.38,11251.38,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (41472)."
AL-0216,00037776,2025-03-27,STAT 112,STAT 112,11403,00041592,2025-03-18,LPG,11403.81,11403,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,true,"Open balance trunc/over (Δ-0.81). ERP ref cross-check agrees (41592)."
AL-0217,00038056,2025-04-02,STAT 113,STAT 113,12044.12,00041830,2025-03-28,LPG,12044.12,12044.12,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (41830)."
AL-0218,00038077,2025-04-08,STAT 113,STAT 113,12928.42,00041982,2025-04-03,LPG,12928.42,12928.42,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (41982)."
AL-0219,00038238,2025-04-25,STAT 113,STAT 113,14309.62,00042254,2025-04-13,LPG,14309.62,14309.62,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (42254)."
AL-0220,00038533,2025-05-07,STAT 114,STAT 114,16545.45,00042619,2025-04-28,LPG,16545.45,16545.45,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (42619)."
AL-0221,00038817,2025-05-16,STAT 114,STAT 114,10926.82,00042216,2025-04-11,LPG,13981.65,10926.82,0,OPEN_BALANCE_PARTIAL,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,true,"Partial vs net open 13981.65 (Δ-3054.83). ERP ref cross-check agrees (42216)."
AL-0222,00038835,2025-05-19,STAT 114,STAT 114,17886.99,00042968,2025-05-09,LPG,17886.99,17886.99,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (42968)."
AL-0223,00038930,2025-05-27,STAT 114,STAT 114,14290.13,00043279,2025-05-21,LPG,14290.13,14290.13,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (43279)."
AL-0224,00039141,2025-06-04,STAT 115,STAT 115,15105.82,00043437,2025-05-28,LPG,15105.82,15105.82,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (43437)."
AL-0225,00039720,2025-06-08,STAT 115,STAT 115,12084.68,00043683,2025-06-05,LPG,12084.68,12084.68,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (43683)."
AL-0226,00040559,2025-06-12,STAT 115,STAT 115,11994.04,00043728,2025-06-08,LPG,11994.04,11994.04,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (43728)."
AL-0227,00039738,2025-06-19,STAT 115,STAT 115,19725.83,00043972,2025-06-16,LPG,19725.83,19725.83,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (43972)."
AL-0228,00039582,2025-06-24,STAT 115,STAT 115,2915.02,00042654,,LPG,0,0,2915.02,UNALLOCATED,ERP_LEDGER,Exception,false,true,"No LPG for ref 42654."
AL-0229,00039582,2025-06-24,STAT 115,STAT 115,345,00044090,,LPG,0,0,345,UNALLOCATED,ERP_LEDGER,Exception,false,true,"No LPG for ref 44090."
AL-0230,00039582,2025-06-24,STAT 115,STAT 115,185.15,00041983,,LPG,0,0,185.15,UNALLOCATED,ERP_LEDGER,Exception,false,true,"No LPG for ref 41983."
AL-0231,00039582,2025-06-24,STAT 115,STAT 115,3054.83,00042216,2025-04-11,LPG,3054.83,3054.83,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (42216)."
AL-0232,00039582,2025-06-24,STAT 115,STAT 115,9421.26,00044089,2025-06-19,LPG,9421.26,9421.26,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (44089)."
AL-0233,00039621,2025-06-26,STAT 115,STAT 115,6771.54,00044210,2025-06-23,LPG,6771.54,6771.54,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (44210)."
AL-0234,00039761,2025-07-01,STAT 116,STAT 116,14377.39,00044457,2025-06-30,LPG+OTHER,14377.39,14377.39,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (LPG+OTHER event net) (after CN offset). ERP ref cross-check agrees (44457)."
AL-0235,00040110,2025-07-06,STAT 116,STAT 116,12000,00044564,,LPG,0,0,12000,UNALLOCATED,ERP_LEDGER,Exception,false,true,"No LPG for ref 44564."
AL-0236,00040006,2025-07-13,STAT 116,STAT 116,13472.03,00044682,2025-07-08,LPG+OTHER,13472.03,13472.03,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (LPG+OTHER event net) (after CN offset). ERP ref cross-check agrees (44682)."
AL-0237,00040276,2025-07-27,STAT 116,STAT 116,7378.76,00044901,2025-07-16,LPG,7378.76,7378.76,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (44901)."
AL-0238,00040276,2025-07-27,STAT 116,STAT 116,12000,00044977,,LPG,0,0,12000,UNALLOCATED,ERP_LEDGER,Exception,false,true,"No LPG for ref 44977."
AL-0239,00040452,2025-08-04,STAT 117,STAT 117,6000,00045769,,LPG,0,0,6000,UNALLOCATED,ERP_LEDGER,Exception,false,true,"No LPG for ref 45769."
AL-0240,00040452,2025-08-04,STAT 117,STAT 117,15960.57,00045283,2025-07-30,LPG,15960.57,15960.57,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (45283)."
AL-0241,00040892,2025-08-27,STAT 117,STAT 117,3353.4,00045594,2025-08-10,LPG,3353.4,3353.4,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (45594)."
AL-0242,00040892,2025-08-27,STAT 117,STAT 117,10135,00042654,,LPG,0,0,10135,UNALLOCATED,ERP_LEDGER,Exception,false,true,"No LPG for ref 42654."
AL-0243,00040892,2025-08-27,STAT 117,STAT 117,12153.56,00045611,2025-08-10,LPG,12153.56,12153.56,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (45611)."
AL-0244,00040892,2025-08-27,STAT 117,STAT 117,1265,00045595,,LPG,0,0,1265,UNALLOCATED,ERP_LEDGER,Exception,false,true,"No LPG for ref 45595."
AL-0245,00041121,2025-09-07,STAT 118,STAT 118,12597.8,00045958,2025-08-27,LPG,12597.84,12597.8,0,PROXIMITY_INFERENCE,PARTIAL_INVOICE_INFERENCE,Probable,false,true,"Proximity → Inv 45958 (lag 11d)."
AL-0246,00041312,2025-09-22,STAT 118,STAT 118,10118.23,00046505,2025-09-18,LPG,10118.23,10118.23,0,COMBINATION_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,true,"Tier 2 combination on Pmt 41312; Δ0.18. Targets: 46505 + 46265."
AL-0247,00041312,2025-09-22,STAT 118,STAT 118,11117.59,00046265,2025-09-09,LPG,11117.59,11117.59,0,COMBINATION_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,true,"Tier 2 combination on Pmt 41312; Δ0.18. Targets: 46505 + 46265."
AL-0248,00041563,2025-10-01,STAT 119,STAT 119,3.25,00042969,,LPG,0,0,3.25,UNALLOCATED,ERP_LEDGER,Exception,false,true,"No LPG for ref 42969."
AL-0249,00041563,2025-10-01,STAT 119,STAT 119,517.5,00043973,,LPG,0,0,517.5,UNALLOCATED,ERP_LEDGER,Exception,false,true,"No LPG for ref 43973."
AL-0250,00041563,2025-10-01,STAT 119,STAT 119,7844.75,00046660,2025-09-24,LPG,7844.75,7844.75,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (46660)."
AL-0251,00041563,2025-10-01,STAT 119,STAT 119,514.5,00042654,,LPG,0,0,514.5,UNALLOCATED,ERP_LEDGER,Exception,false,true,"No LPG for ref 42654."
AL-0252,00041648,2025-10-13,T2000228,T2000228,910,00047092,,LPG,0,0,910,UNALLOCATED,ERP_LEDGER,Exception,false,true,"No LPG for ref 47092."
AL-0253,00041763,2025-10-16,T2000230,T2000230,0.81,00041592,2025-03-18,LPG,0.81,0.81,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (41592)."
AL-0254,00041876,2025-10-17,STAT 119,STAT 119,8494.33,00047040,2025-10-12,LPG,8494.33,8494.33,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (47040)."
AL-0255,00041963,2025-10-26,STAT 119,STAT 119,9793.46,00047205,2025-10-19,LPG,9793.46,9793.46,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (47205)."
AL-0256,00041963,2025-10-26,STAT 119,STAT 119,5921.02,00046878,2025-10-03,LPG,5921.02,5921.02,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (46878)."
AL-0257,00041963,2025-10-26,STAT 119,STAT 119,517.5,00043729,,LPG,0,0,517.5,UNALLOCATED,ERP_LEDGER,Exception,false,true,"No LPG for ref 43729."
AL-0258,00041963,2025-10-26,STAT 119,STAT 119,1491.75,00042969,,LPG,0,0,1491.75,UNALLOCATED,ERP_LEDGER,Exception,false,true,"No LPG for ref 42969."
AL-0259,00041963,2025-10-26,STAT 119,STAT 119,5160.77,00045958,2025-08-27,LPG,12597.84,5160.77,0,OPEN_BALANCE_PARTIAL,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,true,"Partial vs net open 12597.84 (Δ-7437.07). ERP ref cross-check agrees (45958)."
AL-0260,00041963,2025-10-26,STAT 119,STAT 119,6500,00044131,,LPG,0,0,6500,UNALLOCATED,ERP_LEDGER,Exception,false,true,"No LPG for ref 44131."
AL-0261,00041963,2025-10-26,STAT 119,STAT 119,11400,00045589,,LPG,0,0,11400,UNALLOCATED,ERP_LEDGER,Exception,false,true,"No LPG for ref 45589."
AL-0262,00041963,2025-10-26,STAT 119,STAT 119,25070,00042283,,LPG,0,0,25070,UNALLOCATED,ERP_LEDGER,Exception,false,true,"No LPG for ref 42283."
AL-0263,00042099,2025-11-04,STAT 120,STAT 120,8169.57,00047442,2025-10-30,LPG,8169.57,8169.57,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (47442)."
AL-0264,00042231,2025-11-13,STAT 120,STAT 120,10068,00047514,2025-11-04,LPG,10068.3,10068,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,true,"Open balance trunc/over (Δ-0.30). ERP ref cross-check agrees (47514)."
AL-0265,00042315,2025-11-21,STAT 120,STAT 120,6474.52,00047712,2025-11-16,LPG,6474.52,6474.52,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (47712)."
AL-0266,00042315,2025-11-21,STAT 120,STAT 120,0.48,,,LPG,0,0.48,0,ROUNDING_RESIDUAL,EXPLICIT_ALLOCATION,Confirmed,false,false,"Blank ref micro-residual ≤R1.00."
AL-0267,00042429,2025-11-28,STAT 120,STAT 120,8360.57,00047876,2025-11-23,LPG+OTHER,8360.57,8360.57,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (LPG+OTHER event net) (after CN offset). ERP ref cross-check agrees (47876)."
AL-0268,00042429,2025-11-28,STAT 120,STAT 120,0.43,,,LPG,0,0.43,0,ROUNDING_RESIDUAL,EXPLICIT_ALLOCATION,Confirmed,false,false,"Blank ref micro-residual ≤R1.00."
AL-0269,00042540,2025-12-07,STAT 121,STAT 121,6388.48,00048042,2025-12-01,LPG,6388.48,6388.48,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (48042)."
AL-0270,00042690,2025-12-14,STAT 121,STAT 121,7010.24,00048206,2025-12-09,LPG,7010.24,7010.24,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (48206)."
AL-0271,00042834,2025-12-28,STAT 121,STAT 121,7421.33,00048384,2025-12-18,LPG,7421.33,7421.33,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (48384)."
AL-0272,00042852,2026-01-01,STAT 122,STAT 122,3894.59,00048511,2025-12-28,LPG,3894.59,3894.59,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (48511)."
AL-0273,00042852,2026-01-01,STAT 122,STAT 122,0.41,,,LPG,0,0.41,0,ROUNDING_RESIDUAL,EXPLICIT_ALLOCATION,Confirmed,false,false,"Blank ref micro-residual ≤R1.00."
AL-0274,00042923,2026-01-09,STAT 122,STAT 122,9260.4,00048582,2026-01-01,LPG,9260.42,9260.4,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (48582)."
AL-0275,00043139,2026-01-26,STAT 122,STAT 122,11380.79,00048770,2026-01-13,LPG,11380.79,11380.79,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (48770)."
AL-0276,00043139,2026-01-26,STAT 122,STAT 122,5500,00048871,,LPG,0,0,5500,UNALLOCATED,ERP_LEDGER,Exception,false,true,"No LPG for ref 48871."
AL-0277,00043139,2026-01-26,STAT 122,STAT 122,0.21,,,LPG,0,0.21,0,ROUNDING_RESIDUAL,EXPLICIT_ALLOCATION,Confirmed,false,false,"Blank ref micro-residual ≤R1.00."
AL-0278,00043237,2026-02-06,STAT 123,STAT 123,9510,00049021,2026-01-29,LPG,9510.36,9510,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,true,"Open balance trunc/over (Δ-0.36). ERP ref cross-check agrees (49021)."
AL-0279,00043323,2026-02-11,STAT 123,STAT 123,9410,00049138,2026-02-06,LPG,9410.08,9410,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,true,"Open balance trunc/over (Δ-0.08). ERP ref cross-check agrees (49138)."
AL-0280,00043398,2026-02-19,STAT 123,STAT 123,8195,00049213,2026-02-11,LPG,8195.12,8195,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,true,"Open balance trunc/over (Δ-0.12). ERP ref cross-check agrees (49213)."
AL-0281,00043563,2026-03-05,STAT 124,STAT 124,5654.9,00049468,2026-02-25,LPG,5654.9,5654.9,0,COMBINATION_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,true,"Tier 2 combination on Pmt 43563; Δ0.07. Targets: 49468 + 49374."
AL-0282,00043563,2026-03-05,STAT 124,STAT 124,9410.01,00049374,2026-02-22,LPG,9410.01,9410.01,0,COMBINATION_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,true,"Tier 2 combination on Pmt 43563; Δ0.07. Targets: 49468 + 49374."
AL-0283,00043563,2026-03-05,STAT 124,STAT 124,0.02,,,LPG,0,0.02,0,ROUNDING_RESIDUAL,EXPLICIT_ALLOCATION,Confirmed,false,false,"Blank ref micro-residual ≤R1.00."
AL-0284,00043757,2026-03-23,STAT 124,STAT 124,6664.56,00049813,2026-03-17,LPG,6664.56,6664.56,0,COMBINATION_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Tier 2 combination on Pmt 43757; Δ0.04. Targets: 49813 + 49747."
AL-0285,00043757,2026-03-23,STAT 124,STAT 124,9963.4,00049747,2026-03-15,LPG,9963.4,9963.4,0,COMBINATION_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Tier 2 combination on Pmt 43757; Δ0.04. Targets: 49813 + 49747."
AL-0286,00043881,2026-04-03,STAT 125,STAT 125,9896,00049973,2026-03-27,LPG,9896.53,9896,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,true,"Open balance trunc/over (Δ-0.53). ERP ref cross-check agrees (49973)."
AL-0287,00044002,2026-04-13,STAT 125,STAT 125,10773.35,00050120,2026-04-07,LPG,10773.35,10773.35,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (50120)."
AL-0288,00044002,2026-04-13,STAT 125,STAT 125,0.65,,,LPG,0,0.65,0,ROUNDING_RESIDUAL,EXPLICIT_ALLOCATION,Confirmed,false,false,"Blank ref micro-residual ≤R1.00."
AL-0289,00044096,2026-04-24,STAT 125,STAT 125,0.05,,,LPG,0,0.05,0,ROUNDING_RESIDUAL,EXPLICIT_ALLOCATION,Confirmed,false,false,"Blank ref micro-residual ≤R1.00."
AL-0290,00044096,2026-04-24,STAT 125,STAT 125,11354.95,00050232,2026-04-13,LPG,11354.95,11354.95,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (50232)."
AL-0291,00044295,2026-05-15,STAT 126,STAT 126,9129.48,00050506,2026-05-04,LPG,9129.48,9129.48,0,COMBINATION_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Tier 2 combination on Pmt 44295; Δ0.00. Targets: 50506 + 50470."
AL-0292,00044295,2026-05-15,STAT 126,STAT 126,11127.37,00050470,2026-04-30,LPG,11127.37,11127.37,0,COMBINATION_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Tier 2 combination on Pmt 44295; Δ0.00. Targets: 50506 + 50470."
AL-0293,00044295,2026-05-15,STAT 126,STAT 126,0.15,,,LPG,0,0.15,0,ROUNDING_RESIDUAL,EXPLICIT_ALLOCATION,Confirmed,false,false,"Blank ref micro-residual ≤R1.00."
AL-0294,00044459,2026-05-29,STAT 126,STAT 126,13603.52,00050760,2026-05-18,LPG,13603.52,13603.52,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (50760)."
AL-0295,00044553,2026-06-02,STAT 127,STAT 127,13833,00051006,2026-05-28,LPG,13833.03,13833,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (51006)."
